State,County
Alabama,Walker
Alabama,Franklin
Alabama,Marion
Alabama,Winston
Arizona,Mohave
Arkansas,Sharp
Arkansas,Lawrence
California,Lake
California,Plumas
Colorado,Crowley
Georgia,Murray
Georgia,Towns
Georgia,Fannin
Georgia,Haralson
Illinois,Hardin
Indiana,Crawford
Indiana,Starke
Indiana,Switzerland
Indiana,Scott
Indiana,Washington
Indiana,Ripley
Indiana,Dearborn
Indiana,Jennings
Indiana,Fayette
Indiana,Henry
Kansas,Rawlins
Kansas,Woodson
Kansas,Allen
Kansas,Wilson
Kentucky,Hickman
Kentucky,Menifee
Kentucky,Breckinridge
Kentucky,Lincoln
Kentucky,Grayson
Kentucky,Knott
Kentucky,Perry
Kentucky,Clay
Kentucky,Laurel
Kentucky,Leslie
Kentucky,Adair
Kentucky,Russell
Kentucky,Wayne
Kentucky,Cumberland
Kentucky,Allen
Kentucky,Clinton
Kentucky,Monroe
Kentucky,Green
Kentucky,Edmonson
Kentucky,Mercer
Kentucky,Boyle
Kentucky,Casey
Kentucky,Taylor
Kentucky,Powell
Kentucky,Magoffin
Kentucky,Garrard
Kentucky,Lee
Kentucky,Breathitt
Kentucky,Owsley
Kentucky,Rockcastle
Kentucky,Estill
Kentucky,Wolfe
Kentucky,Knox
Kentucky,Harlan
Kentucky,Whitley
Kentucky,McCreary
Kentucky,Bell
Kentucky,Letcher
Kentucky,Johnson
Kentucky,Martin
Kentucky,Floyd
Kentucky,Pike
Kentucky,Gallatin
Kentucky,Greenup
Kentucky,Carroll
Kentucky,Campbell
Kentucky,Grant
Kentucky,Lewis
Kentucky,Carter
Kentucky,Bath
Kentucky,Robertson
Kentucky,Elliott
Kentucky,Lawrence
Kentucky,Boyd
Maine,Somerset
Maine,Washington
Maine,Kennebec
Maine,Waldo
Michigan,Kalkaska
Michigan,Alcona
Michigan,Crawford
Michigan,Oscoda
Michigan,Cheboygan
Michigan,Presque Isle
Michigan,Montmorency
Michigan,Roscommon
Michigan,Lake
Michigan,Clare
Michigan,Ogemaw
Mississippi,Tishomingo
Missouri,Bates
Missouri,Cedar
Missouri,St. Francois
Missouri,Hickory
Missouri,Wayne
Missouri,Ozark
Missouri,Wright
Missouri,Iron
Missouri,Madison
Missouri,Reynolds
Missouri,Ripley
Missouri,Crawford
Missouri,Washington
Montana,Mineral
Montana,Treasure
Nevada,Esmeralda
Nevada,Storey
North Carolina,Wilkes
North Carolina,Graham
North Carolina,Cherokee
North Carolina,Clay
North Carolina,Burke
Ohio,Brown
Ohio,Adams
Ohio,Scioto
Ohio,Clinton
Ohio,Highland
Ohio,Pike
Ohio,Gallia
Ohio,Athens
Ohio,Vinton
Ohio,Jackson
Ohio,Meigs
Oklahoma,Cimarron
Oklahoma,Jefferson
Pennsylvania,Crawford
Pennsylvania,Luzerne
Pennsylvania,Cambria
Tennessee,Lake
Tennessee,Benton
Tennessee,Hardin
Tennessee,McNairy
Tennessee,Humphreys
Tennessee,Perry
Tennessee,Lewis
Tennessee,Wayne
Tennessee,Lawrence
Tennessee,Hawkins
Tennessee,Fentress
Tennessee,Overton
Tennessee,Carter
Tennessee,Washington
Tennessee,Smith
Tennessee,Grainger
Tennessee,Greene
Tennessee,Morgan
Tennessee,Hamblen
Tennessee,Bledsoe
Tennessee,Meigs
Tennessee,DeKalb
Tennessee,Cannon
Tennessee,Warren
Tennessee,Rhea
Tennessee,White
Tennessee,Jefferson
Tennessee,Cocke
Tennessee,Roane
Tennessee,Polk
Tennessee,Scott
Tennessee,Campbell
Tennessee,Union
Tennessee,Pickett
Tennessee,Clay
Tennessee,Jackson
Tennessee,Macon
Tennessee,Claiborne
Tennessee,Hancock
Tennessee,Sullivan
Tennessee,Johnson
Texas,Foard
Utah,Carbon
Utah,Beaver
Utah,Emery
Vermont,Essex
Vermont,Windham
Virginia,Lee
Virginia,Buchanan
Virginia,Tazewell
Virginia,Dickenson
Virginia,Wise
Virginia,Wythe
Virginia,Russell
Virginia,Patrick
West Virginia,Logan
West Virginia,Raleigh
West Virginia,Mercer
West Virginia,Mingo
West Virginia,Wyoming
West Virginia,McDowell
West Virginia,Summers
West Virginia,Monroe
West Virginia,Fayette
West Virginia,Boone
West Virginia,Hancock
West Virginia,Brooke
West Virginia,Marshall
West Virginia,Calhoun
West Virginia,Mason
West Virginia,Roane
West Virginia,Braxton
West Virginia,Clay
West Virginia,Wayne
West Virginia,Kanawha
West Virginia,Cabell
West Virginia,Lincoln
West Virginia,Tyler
West Virginia,Taylor
West Virginia,Webster
West Virginia,Nicholas
West Virginia,Morgan
West Virginia,Berkeley
